time_s,true_x_m,true_y_m,estimated_x_m,estimated_y_m,position_error_m,nlos_anchor_count
0.000000,5.000000,25.000000,4.656470,25.363237,0.499954,3
0.500000,5.000000,24.500000,5.171281,25.131428,0.654247,3
1.000000,5.000000,24.000000,5.443895,24.238122,0.503730,3
1.500000,5.000000,23.500000,5.490543,23.812846,0.581812,3
2.000000,5.000000,23.000000,5.363000,22.879244,0.382558,3
2.500000,5.000000,22.500000,5.626631,22.533224,0.627511,3
3.000000,5.000000,22.000000,6.425610,22.318037,1.460655,3
3.500000,5.000000,21.500000,6.216968,22.209864,1.408871,3
4.000000,5.000000,21.000000,5.963093,21.505478,1.087683,3
4.500000,5.000000,20.500000,5.177199,20.752334,0.308337,3
5.000000,5.000000,20.000000,5.246565,20.662467,0.706864,3
5.500000,5.000000,19.500000,5.496021,20.600786,1.207380,3
6.000000,5.000000,19.000000,5.236909,19.576826,0.623581,3
6.500000,5.000000,18.500000,5.186689,19.072151,0.601838,3
7.000000,5.000000,18.000000,4.946089,18.267710,0.273085,3
7.500000,5.000000,17.500000,4.460902,17.378003,0.552729,4
8.000000,5.000000,17.000000,4.991748,16.872137,0.128129,4
8.500000,5.000000,16.500000,5.155191,16.132607,0.398825,4
9.000000,5.000000,16.000000,4.940192,15.704392,0.301598,4
9.500000,5.000000,15.500000,4.208495,14.959475,0.958461,4
10.000000,5.000000,15.000000,4.789534,14.906080,0.230471,4
10.500000,5.459573,15.196960,5.217610,15.078973,0.269196,4
11.000000,5.919145,15.393919,5.281535,15.218792,0.661223,3
11.500000,6.378718,15.590879,5.853387,15.819826,0.573053,3
12.000000,6.838290,15.787839,5.842699,15.619378,1.009742,3
12.500000,7.297863,15.984798,6.542163,15.821304,0.773183,3
13.000000,7.757435,16.181758,7.623663,16.238483,0.145302,4
13.500000,8.217008,16.378718,7.881894,15.936789,0.554618,4
14.000000,8.676580,16.575677,8.166626,16.422493,0.532465,4
14.500000,9.136153,16.772637,9.339045,17.132873,0.413444,4
15.000000,9.595725,16.969596,9.638756,16.857908,0.119692,4
15.500000,10.055298,17.166556,10.371372,17.418146,0.403981,4
16.000000,10.514870,17.363516,10.965255,17.302939,0.454440,4
16.500000,10.974443,17.560475,11.490729,17.217890,0.619610,4
17.000000,11.434015,17.757435,12.132531,16.817216,1.171297,4
17.500000,11.893588,17.954395,12.518415,17.484491,0.781805,4
18.000000,12.393584,17.956278,12.650275,18.027650,0.266429,4
18.500000,12.893581,17.958162,13.175911,17.621073,0.439704,4
19.000000,13.393577,17.960045,12.743151,17.581985,0.752319,4
19.500000,13.893574,17.961929,13.221191,17.698547,0.722128,4
20.000000,14.393570,17.963812,13.404573,17.531151,1.079496,4
20.500000,14.893566,17.965696,14.197232,17.722413,0.737610,4
21.000000,15.393563,17.967579,15.271400,17.917280,0.132113,4
21.500000,15.893559,17.969463,15.376612,18.252070,0.589153,4
22.000000,16.393556,17.971346,16.120093,18.985424,1.050303,4
22.500000,16.893552,17.973230,16.849126,18.194358,0.225547,4
23.000000,17.393549,17.975113,16.893758,17.742385,0.551320,4
23.500000,17.893545,17.976997,18.170734,17.827113,0.315117,4
24.000000,18.393542,17.978880,19.187903,18.131032,0.808802,4
24.500000,18.893538,17.980764,19.303154,18.125339,0.434382,4
25.000000,19.393535,17.982647,19.910698,18.667476,0.858166,4
25.500000,19.893531,17.984531,20.352293,18.362699,0.594537,4
26.000000,20.393527,17.986414,20.602110,18.162523,0.272985,4
26.500000,20.893524,17.988298,21.346703,18.545363,0.718117,4
27.000000,21.393520,17.990181,21.216603,18.534405,0.572258,4
27.500000,21.893517,17.992065,21.406917,18.309103,0.580769,4
28.000000,22.393513,17.993948,22.427584,17.763080,0.233369,4
28.500000,22.893510,17.995832,23.033786,18.069477,0.158433,4
29.000000,23.393506,17.997715,22.971231,17.944513,0.425614,3
29.500000,23.893503,17.999599,23.861725,18.274809,0.277039,3
30.000000,24.393503,17.999648,24.312437,18.708656,0.713628,3
30.500000,24.893503,17.999697,24.362896,17.766693,0.579512,3
31.000000,25.393503,17.999745,24.866076,17.655709,0.629714,3
31.500000,25.893503,17.999794,25.659576,17.843442,0.281368,3
32.000000,26.393503,17.999843,26.056782,17.914193,0.347443,3
32.500000,26.893503,17.999892,26.646675,17.837000,0.295732,3
33.000000,27.393503,17.999941,27.336915,18.026140,0.062359,3
33.500000,27.893503,17.999990,27.664744,17.723845,0.358589,3
34.000000,28.393503,17.999990,28.474454,17.403863,0.601599,3
34.500000,28.893503,17.999990,28.585119,17.130804,0.922272,3
35.000000,29.393503,17.999991,28.681013,17.053481,1.184704,3
35.500000,29.893503,17.999991,29.246099,17.120878,1.091775,3
36.000000,30.393503,17.999992,29.774160,16.279121,1.828928,3
36.500000,30.893503,17.999992,30.765493,16.694786,1.311469,3
37.000000,31.393503,17.999993,31.223947,17.535875,0.494119,3
37.500000,31.893503,17.999993,32.149772,17.973479,0.257638,3
38.000000,32.393503,17.999993,32.944995,17.712414,0.621969,3
38.500000,32.893503,17.999994,33.216062,18.486138,0.583421,3
39.000000,33.393503,17.999994,33.720530,18.536422,0.628253,2
39.500000,33.893503,17.999995,34.194054,18.231279,0.379241,2
40.000000,34.393503,17.999995,35.007564,18.446542,0.759260,2
40.500000,34.893503,17.999996,35.786320,18.351093,0.959371,2
41.000000,35.393503,17.999996,36.532027,18.483693,1.237012,2
41.500000,35.893503,17.999996,36.351695,18.366505,0.586744,2
42.000000,36.393503,17.999997,37.133888,18.220434,0.772504,2
42.500000,36.893503,17.999997,37.582463,17.936074,0.691920,2
43.000000,37.393503,17.999998,37.254561,17.960550,0.144433,2
43.500000,37.893503,17.999998,37.979584,18.065668,0.108270,2
44.000000,38.393503,17.999999,38.679281,18.196582,0.346864,2
44.500000,38.893503,17.999999,39.343290,18.450622,0.636687,2
45.000000,39.393503,17.999999,39.517880,18.303639,0.328126,2
45.500000,39.893503,18.000000,40.295052,18.304923,0.504203,2
46.000000,40.162525,17.578542,40.229538,17.883018,0.311764,2
46.500000,40.431547,17.157083,40.102698,17.310043,0.362682,2
47.000000,40.700569,16.735625,40.006893,16.853345,0.703593,2
47.500000,40.969591,16.314166,40.503201,16.529778,0.513817,2
48.000000,41.238613,15.892708,41.061947,16.257529,0.405346,2
48.500000,41.507635,15.471250,42.166238,16.059511,0.883068,2
49.000000,41.776657,15.049791,42.734145,15.838263,1.240351,2
49.500000,42.045679,14.628333,42.632613,15.129448,0.771757,2
50.000000,42.314701,14.206875,41.902188,14.475133,0.492066,2
50.500000,42.583723,13.785416,42.233904,14.062894,0.446505,2
51.000000,42.852745,13.363958,43.211970,13.555112,0.406919,2
51.500000,43.121767,12.942499,43.636952,13.067431,0.530117,2
52.000000,43.390789,12.521041,43.660755,12.678796,0.312679,2
52.500000,43.659811,12.099583,42.955904,12.003816,0.710391,2
53.000000,43.928833,11.678124,43.536648,11.617228,0.396884,2
53.500000,44.197855,11.256666,43.988435,11.134561,0.242417,2
54.000000,44.466877,10.835208,43.894933,10.728934,0.581733,2
54.500000,44.735899,10.413749,45.006298,10.615704,0.337493,2
55.000000,45.000000,10.000000,43.808114,9.732661,1.221500,2
55.500000,45.000000,10.000000,43.999602,9.454335,1.139538,2
56.000000,45.000000,10.000000,44.792642,9.316453,0.714307,2
56.500000,45.000000,10.000000,45.039036,9.407580,0.593705,2
57.000000,45.000000,10.000000,45.877513,9.597761,0.965311,2
57.500000,45.000000,10.000000,45.881859,9.595725,0.970110,2
58.000000,45.000000,10.000000,44.908514,9.281430,0.724370,2
58.500000,45.000000,10.000000,44.202442,9.256474,1.090381,2
59.000000,45.000000,10.000000,44.419207,9.356703,0.866690,2
59.500000,45.000000,10.000000,44.488650,9.366539,0.814096,2
60.000000,45.000000,10.000000,45.155852,9.800409,0.253232,2
60.500000,45.000000,10.000000,44.585792,9.612074,0.567499,2
61.000000,45.000000,10.000000,45.049619,9.875611,0.133920,2
61.500000,45.000000,10.000000,45.386607,9.886508,0.402921,2
62.000000,45.000000,10.000000,45.269892,9.964107,0.272268,2
62.500000,45.000000,10.000000,45.487524,9.961276,0.489060,2
63.000000,45.000000,10.000000,45.636678,10.012204,0.636795,2
63.500000,45.000000,10.000000,45.552482,10.185348,0.582744,2
64.000000,45.000000,10.000000,45.170886,10.098100,0.197042,2
64.500000,45.000000,10.000000,44.540328,9.978254,0.460186,2
65.000000,45.000000,10.000000,45.085214,9.907373,0.125861,2
65.500000,45.000000,10.000000,46.013778,10.368041,1.078517,2
66.000000,45.000000,10.000000,45.736182,10.258259,0.780168,2
